proj_id,proj_show,proj_featured1,proj_featured,proj_title,proj_folder,proj_awards_title,proj_subtitle,proj_bullets,proj_num_images,proj_descr,proj_video_url,proj_category_class,proj_text_thumb
11,no,,,Epurify Tower,epurify-tower,,,Category==High-rise | Mixed-use | Air cleaner==Client==CTBUH==Status==Design Entry==Year==2016,13,"PROBLEM <br><br>
Air pollution in Asia is a problem that needs immediate human intervention. As a case study site, the city of Beijing in China is chosen where air pollution level is so high that at least one third of the countrys' population gets badly effected causing as many as 1.6 million peoples' death. According to Greenpeace, China's air pollution puts public health at risk every day because of the presence of minuscule particles known as PM2.5. These are more prone to carrying a variety of toxic heavy metals, acid oxides, organic pollutants, and other chemicals, as well as micro-organisms such as bacteria and viruses in the air. The proposed high rise  tower 'E- PURIFY' is a step towards making a better tomorrow by not only manifesting the building as an urban air cleaning agent but also as a way to bring human beings closer to nature by imbibing healthier and sustainable lifestyle. <br><br>

ENVIRONMENT <br><br>
Pollution control : The proposed high rise structure is designed as a twin tower, connected on the top as an iconic gateway forming a landmark impression to the visitor, thereby attracting more people to the site. The 698m tower is wrapped with a porous screen facade screen (225 000 sq m area) built with Titanium Dioxide. As air interacts with it, UV-light-activated free radicals destroy any existing pollutants cleaning the neighboring air substantially. The form of the tower is aerodynamically designed to aid flow of air on the tower to maximize volume of air cleaned per day. The exterior walls of the facade are angled inside to minimize wind load on the tower. The porosity of the screen is higher on the lower levels of the tower and lower on the upper levels of the tower to optimize adequate interior daylighting. A vertical green park is provided which aids cleaning the air further by removing a large amount of carbon and dust particles from the environment. In addition, this green cover adds oxygen, provides acoustic buffer and reduces urban heat island effect. The tower is built from cross laminated timber, an engineered wood consisting of multiple timber sections along with reinforced steel. This reduces the embodied energy use in the project by 70-80%. Also as timber is recyclable, the lost timber from trees can be regrown. Timber construction speeds up the construction time manifolds and provides a much refined high quality spatial experience.<br><br>

Energy Production: The vertical green park has over 20000 sq.m. size of algae photo bio reactors which interacts with the sun rays and the carbon dioxide from the environment. The resulting biomass is burnt to provide electricity and heat to the tower. While conventionally PV cells are used to provide energy, the process to manufacture these cells is expensive and is extremely polluting to the nature.  The technology embedded on the vertical green park, collects light and uses it to grow Algae within the bio reactors. The grown algae is taken to a combustion chamber to form biomass which is then converted to electricity or heat. The upper levels of the tower also relies on wind turbines to generate energy.<br><br>

CONTEXT AND USE<br><br>
The proposed development is approx. 1 million sq.m. size entertainment district positioned, very close to Sanlitun area in Beijing which is widely popular for recreational uses. The towers' predominant uses are restaurants, retails, shopping areas, exhibition galleries, luxury hotels and health resorts. Other uses include creative offices for entertainment industry including artists' studio and maker spaces. Considering the close proximity of the site to the  bustling Sanlitun district, newly built Phoenix Media Center, Chaoyang park and the Chaoyang Park Plaza, it will get the much needed footfall for an extended vertical recreational district which stays active 18 hours of the day. One of the innovative functions of the tower is a vertical green park, which is a space to hang out with friends, walk your dog, workout, yoga, play with animals or birds, grow your own vegetables and learn about nature. Essentially, it brings people closer to the nature and increases bio diversity in the city.<br><br>
",,architecture,vertical living
12,,,,Podistle,podistle,,,"Category==Mobile pods | Smart neighborhood | Future Vision==Client==Suqian City Municipality, China==Status==Design Entry==Year==2018",13,"CONCEPT : Smart Mobile Pod Neighborhood <br><br>
The site given was at the scenic and famous  Suqian city's Luoma lake in  in Jiangsu, China. Originally tourists needed to walk or explore the vast area of the surrounding area of the lake by foot, boat, circulators etc. Hotel/ hospitality services close to the park often endanger biodiversity and essence of the nature to support peoples' tourism needs.  Our idea was a fusion of improved e-commerce and hospitality services.  We proposed PODISTLE - I , mobile pods/tents that would blend with the natural surrounding, and  have mobility within a defined natural precincts. Guests could hire these mobile pods on hourly, daily or even monthly basis. All services (like food, water, dry cleaning etc.) could be delivered  to the pods through e-commerce services that would allow guests to live and explore nature at any time of the day without worrying about their daily chores. The design of the pods was kept minimal (starting from a sphere geometry, minimal volume/ area) to allow visitors to enjoy the natural surrounding at its best. The pod was envisioned to allow visitors to access land and water bodies within public precincts. <br><br>

Guests could carry Podistle around the lake, to enjoy the pristine beautiful nature and at the same time, experience diverse views/sites near the lake. The lake had many nodes around it, given its strategic location, for example, the Zhangshan Forest Park, Yanghetian Ecological Garden, Yaowan Ancient Town etc. This provided an oppportunity for many pod stations which can allow people to board the pod and spend time on the lake and visit all the adjoining locations. Its a new hotel business model where site seeing and staying was facilitated at the same time. <br><br>

The design was equipped with a 8000 sqft area of photovoltaic sheet, which was strategically oriented to maximise solar gain and generate energy. It had controllable vertical rust resistant metal fins, allowing variable shading to augment diffused daylighting to the interior. Many Podistile together, created a smart network with shared cloud-based infrastructure to faciliate hassle-free interaction and communication between guests. They were augmented with mobile and desktop apps encouraging users to interact and mingle with their neighbors on the lake.",,architecture,mobile pods
13,no,,,Huawei Wallpaper Design,huawei-theme-design,,,"Category==Graphic Art | Wallpaper | Branding==Client==Huawei Electronics, China==Status==Design Entry==Year==2020",13,Design entries of Android wallpapers for Huawei mobile devices.,,design,2D Art
14,no,,featured,Ningbo High-rise Residences,ningbo-tower,,Design Development,"Category==High-rise | Luxury residences | Ecological Design==Client==Ningbo Real Estate with W2 Architects, China==Status==Design Development==Year==2010",13,"Project is the design of high-rise luxury residences in the scenic area of Ninghai mountain near Ningbo city China. There are five 250m towers each housing suites and room units from studio to 4 bedroom suites. The towers are designed using on environmentally sound design concepts such as incorporating trombe wall, lowering glazed surfaces, light sheves and louver systems, green terracing and inteligent building orientation in the site.  The ground floor accomodates banquet halls, coffee shops, restaurants, shopping arena and old age compact quarters. <br><br>

Energy Conservation methods used include trombe wall, low e-glazing, sustainable wood, planters and roof terracing, louvers & light sheves. The towers are placed on the Ninghai mountain next to an artificial lake and designed keeping the sun path in mind. Thereby the facade/skin  of the tower is subdivided into north and south facade, and respective treatment is provided to protect the interior spaces. For example, the south side facade reflects horizontal louver and aluminium light shelf system to reflect light deep inside.The north facade comprises of clear glass along with a projected balcony. The railing of the balcony lowers down to a planter box on the south facade to screen the direct summer sun light.  A 12 inch thick trombe wall system is located on the south west location, thereby tapping maximum winter heat  during day, which could be used for  energy generation for the tower. The trombe wall also contains a horizontal shading cover for  high angle summer sun, when excessive heat is not needed.
The grasshopper program screenshots shows the formation of the tower shape from a simple square. Generative design approach is utilised to search for an optimal tower shape with the aforementioned design guidelines and the geometrical form of the tower.",,architecture,luxury residences
15,no,,,Startup Tech Center,match-capital-startup-office,,,"Category==Low-rise offices | Startup tech work spaces | Eco-green Smart Building==Client==Match Capital Investments, USA==Status==Design Entry==Year==2013",13,"Design proposal for an office accomodating flexible spaces for startups at Raleigh, USA. Developed by Match Capital Ventures, the new tech building is slated to house modern offices, meeting rooms, conference facilities and world class compact offices for new startups and small team offices. The idea for the two story office tech facility is to use the nature and open spaces at best with semi-indoor spaces. The spaces could be used as gathering points, meeting rooms, spaces for retail and workshops for new technology and product launch. <br><br>

The facade of the facility is designed to  reduce annual energy consumption by optimizing annual solar gains and reducing glazed surface exposure to direct sun light. Integrated facade planting systems and angled glazed surface away from the direct sun are some of the salient measures adopted to help protect the building from adverse climate conditions.",,architecture,tech office space
16,no,,,Super-furniture Graphics,super-furniture-graphics,,,"Category==Graphic Arts | Furniture design | Branding==Client==Houston Post Office, USA==Status==Design Entry==Year==2020",13,"Recent unfortunate environmental calamities such as COVID-19, Australian wildfires, Houston flooding, shows that many human endeavors (e.g., drastic deforestation, extreme air pollution, the rampant killing of animals, etc.) have created a long-lasting dent to the natural system of the world. In this design challenge, we were motivated to educate and spread awareness of the dire seriousness of this problem and the need to create a change; a change where each one of us 'can' and 'need' to contribute. <br><br>

POST Houston, the Houston's Theatre District, offers a brilliant opportunity for people to convene and connect in its new cultural and commercial hub in downtown Houston. This space is expected to be an inspiring platform for people to meet for various activities such as recreation, cultural events, business meetups, 'do it yourself' activities, discussions, and demos, etc. Such a setting provides an excellent opportunity to convey to a large audience the change our planet is going through by showing visual narratives that can spread awareness and knowledge. We present ACT-ON, a graphic design theme laid on  eight monolithic steel furniture masses, that are part of a Superfurniture series. These graphic boards are carefully designed to visually show a scenario that posits, how the current world may look like in the near future, or how we may participate in preventing further harm to the environment. In this design scheme, we show a few Graphic Illustrations as representative samples that can be laid on these Superfurnitures. These graphic boards may have different tilings on the furniture based on its shape, configuration, and size. The boards can be mixed together to use on a piece of single furniture, as shown in the renderings. Individually these boards are designed to be of 3m by 1m in dimension but can be custom-produced to fit any future from the Superfurniture series. <br><br>

Our visual design reflects scenarios caused by the unexpected change in the climate, such as global warming causing the rise of sea waters, massive deforestation due to fast-paced urbanization causing animals to lose home and spaces to thrive. Our design theme presents these stunning visuals with vibrant colors and thought-provoking slogans to encourage people to make sense of the visuals, understand the motivation, and engage in a public discussion with people they connect. ",,design,furniture art
17,no,,,Venn AR Concept,venn-ar-concept,,,"Category==Product Design | AR Concept | Smart City==Client==Handan, China==Status==Design Entry==Year==2020",13,"Handan, China is a historic city with a rich heritage and culture (e.g., diverse food, history, art, and crafts work, etc.) that presents a wide array of majestic spatial experiences. However, to address the diverse needs of people and to serve the ever-growing urban population, Handans' spatial complexity grows. This renders its urban spaces difficult for people to keep track of, and navigate without any external aid such as Baidu or Bing maps, etc. This problem becomes even more serious, (1) when someone new is visiting the city, (2) for older adults or children or (3) even for regular people who go to see new places. One of the major outcomes of cities' rapid growth is that people struggle to find ways to their desired destination. Another common problem that people face is the inability to interact and collaborate with others. Often people are engaged with their mobile devices or spend time alone. Public interaction and exchange of ideas caters to the healthy growth of the citizens of a city, which, unfortunately, is missing as we modernize human civilization.  <br><br>

To solve these urban problems, we present vennAR, an augmented reality (AR) based immersive experience. We select Plot 6, Congtai Square, as our site in the city. Our design 'vennAR' is a 1600mm x 600mm x 1900mm (length, width, and height) vending machine for AR experience. This machine allows users to borrow or rent AR glasses using their Wechat QR codes. VennAR is designed to present four touch-based ultra-HD screens to users (two main, and two side screens). Users can touch to browse the internet to search for places to eat, drink, entertain, or visit interesting events in the city. With the preliminary knowledge of where to go and how to navigate, users can then checkout an AR glass. This glass helps them to navigate across the city aided by an immersive mixed-reality experience and with hand gestures as input to their interactions. With vennAR, we present one device and one database bsed user experience, which means users dont need their phone. All data sources are unified and visualized on the canvas of the 3D world of Handan. <br><br>

Apart from navigation/way-finding, users can also use vennAR to interact and engage with other people in the city. For example, they can participate in AR games playable at any plaza or any open outdoor public space by interacting with nearby users. Similarly, they can go for shared boat rides in the nearby Congtai park, where they can experience never seen before immersive experience that is visually stimulating, creative, and engaging. People using vennAR would love to spend extended time in the outdoor urban space, thereby enriching and activating the public realm. With this project proposal, we intend to grant users a unified data source and a single device (AR glass) based user experience that lets them fluidly interact, communicate, and find places of interest across the majestic city of Handan, China.",,design,augmented reality in the city
18,no,,,CPID Senior Housing,cpid-senior-housing,,,"Category==Senior Housing | Residences==Client==CPID Design Trust, USA==Status==Design Entry==Year==2014",13,"This unique and innovative Intergenerational Housing in Philadelphia, USA is a senior living center. The facility  is a 10 stories high building, with the first two levels designated as the podium accomodates entry lobby, seminar rooms, meeting/conference areas, workshop halls, cafe, restaurants, gymnasium, retail and banquet hall spaces. The top levels are separated into two tower blocks (north block 10 stories, and south block 6 stories). The north block comprises of apartment units for elderly which ranges from compact studio units to two bedroom apartments to ultra spacious three bed room units. The south tower essentially contains duplex units for bigger families. Such gradation and diversity of apartment units is facilitated to meet complex spatial needs of elderly people with mixed family sizes. <br><br>

Our design scheme imagines elderly people will be resident in the towers, while the podium and other common spaces (outdoor, semi indoor and indoor types) will attract young crowd from the adjoining university setting (Upenn, Drexel, and Temple University in Philadelphia, USA). This space would perform like an active library for them, where they can interact with the older generation to exploit their rich experiences and diversified learning in various fields. Its' a University Commons where students, professors, staffs etc. gather to create new products, technologies or dialogues in the process of building a better society for tomorrow. ",,architecture,international senior housing
19,,,featured,Eco Adaptable Residence,eco-adaptable-residence,,Thesis Project,"Category==Ecological Design | Residences | Sustainable Construction==Client==Kolkata, India==Status==Thesis Project==Year==2008",13,"The research project outlines novel methodologies adapted to re-design an existing apartment building in Salt Lake, Kolkata, India, to enhance its indoor comfort level, in terms of daylighting, indoor ventilation, and thermal comfort. For the same, first an in-depth study was conducted of an existing apartment, which highlighted areas of  improvements in terms of environmental performance. Some of the points, that we learned are:  <br><br>
1.	Extremely dark indoor spaces in the service areas and living areas of all the four apartments in the building in each floor.  <br><br>
2.	South facing rooms faced suns glare most of the day and afternoons.  <br><br>
3.	North facing rooms were exceptionally cold during winters due to lack of sunshine and heating.  <br><br>
4.	Inappropriate location of windows on the south and west end of the building, obstructed the possibility of cross ventilation and thus incoming wind could not be channelized to other parts of the apartment.  <br><br>
5.	West facing wall faced extreme solar radiation and thus enabled uncomfortable indoor spaces adjoining it. <br><br>
Motivated to resolve some of these existing issues, novel computational methods were employed to device sustainable solutions. Using computational simulation tools and digital three dimensional modeling techniques, the project validaes the design interventions' effectiveness in improving indoor daylighting, ventilation levels, and thermal comfort. ",,architecture,ecological residences
20,,,featured,Land Art Hour Glass,land-art-hour-glass,,,Category==Sculpture | Energy generator | Urban Art==Client==Land Art Generator==Status==Design Entry==Year==2014,13,"A design proposal of an hour glass inspired sculpture at Copenhagen, Denmark, that not only adds to the urban spatial quality, but also exemplifies novel means to generate energy. On site, we placed a series of hour glasses, with a pedestrian walkway over the existing waterbody, to create a majestic experience for visitors. <br><br>

VAWT, Fish Scoop Effect Tech: <br>
Each hour glass accomodates a Vertical axis Wind turbine (also called VAWT, Darrieus type). These Vawt turbines are capable to generate electricity from the wind energy on-site, which is on average 6m/s. Each of these units are tall enough to generate 2285820 kWh from 8 turbines annually, enough to run 650 homes. VAWT has many advantages over horizontal axis turbines, including compactness, cheaper cost, and easier to install. 
A recent study by The Caltech Field Laboratory for Optimized Wind Energy (FLOWE) found that as VAWTs can be placed closer together, they're capable of generating ten times as much energy per square meter than horizontal axis turbines. The study also found that having each VAWT spin in the opposite direction of its neighbor allowed them to spin faster because the opposing spins reduced the drag on each turbine, which upped their efficiency even more. <br><br>

SOLAR DESALINATION, solar furnace:<br>
Adding to the above in each of the hour glass theres' a modified solar furnace installed at the bottom part of the sculpture. Unlike conventional solar furnace systems, we proposed to use recycled plastic-based (with much lower embodied energy) Fresnel lens (7m in diameter) at 30m height from ground to boil water in the base. This Fresnel lens reduces the amount of material required compared to a conventional lens by dividing the lens into a set of concentric annular sections. <br><br>

PV CELL TECHNOLOGY, integrated with Rawlemon Sphere's:<br>
From research, it looks like Copenhagen has great potential of PV Cell technology. But since our sculptural art form is resonating with each others' form in the group, especially the orientation of the top of the hour glass is angled at different degrees for each system, they do not allow enough leverage to harness efficient solar radiation. Furthermore, we captured solar energy by deploying a Rawlemon sphere, 6m in diameter on top of the structure, that housed PV cells on its surface. <br><br>",,urban-design,urban art
21,no,,featured,Stewardsons Bio-ethics Center,stewardsons-bioethics-center,"Selected as top 5 best design projects in Pennsylvania, USA in the John Stewardsons Challenge","Top 5 Finalist Entry in PA, USA",Category==Bio-ethics Center | Office | Research Labs==Client==John Stewardsons Trust Scholarship==Status==Finalist Entry==Year==2009,13,"This is the design entry for the famous international competition by John Stewardsons Trust in the state of Pennsylvania, USA. This design scheme was accepted as the top 5 best design in the state of Pennsylvania, USA. The topic of the competition was to design a new research building for a Bio-ethics Center. Essentially, this facility is expected to be like a platform to discuss, research and analyze the ethics and moral aspects of new biological research practices in society. Our design concept was derived from the neuron system in human body, which symbolizes the basic building block of human psyche and its potential to make rational decision. The parametric model of the futuristic built form was developed in Autodesk MAYA and then further rationalized using mel scripts.",,architecture,bio ethics center
22,no,,featured,Eco Fern Bench,eco-fern-bench,,,Category==Furniture | Urban Art | Smart city==Client==Street Smart Furniture Competition==Status==Design Entry==Year==2013,13,"A public outdoor seating furniture, the concept of which is derived from the shape of a leaf. The idea is to integrate a dry waste bin and a public seating as one integrated furniture. Each seating is accompanied by a planter box, creating the possibility of natural shade in its surrounding. The design scheme is motivated to reduce sidewalk clutters in Indian streets, encourage better hygiene practices amongst people, and to motivate planting trees.",,design,smart street furniture
23,,,,Slow life urban plan,slow-life-planning,,,"Category==Master plan | Place making | Urban design==Client==With VAST LLC, Shanghai, China==Status==Design Development==Year==2012",13,Urban plan proposal for a slow life style based urban community in China.,,urban-design,urban design
24,,,,South Bund Shanghai Planning,south-bund-masterplan,,,"Category==Master plan | Place making | Urban design==Client==With VAST LLC, Shanghai, China==Status==Design Development==Year==2012",,"Urban plan proposal for Shanghai's South Bund District in China. The design proposal is the redevelopment of the old port area in south bund district of Shanghai and its due urban connectivity to the adjoining
spaces, which currently is in bits and pieces. It fails to create any wholesome urban space for Shanghai. Unlike today, this old port in Shanghai was used
to be in service for business and merchandize activities in yester years. So the project intended to recreate business and commercial value to the port
district. At the same time it aspired to percolate green networks in the urban space. In such a model, built forms can be positioned around this innovative
green channel for mobility.<br><br>

With due considerations to all associated infrastructures & architectural factor, an elevated plaza cum green connection is proposed to
connect all the neighboring urban spaces with this developed region. This green corridor is a continuous urban space ( connected
to all the surrounding built forms) which would be used both to inhabit and to connect neighborhoods to one another, by employing
diverse & interesting public functions over it. <br><br>

Image Source, Vast LLC, China.",,urban-design,riverfront development
25,no,,,Evolo Skyscraper Concept,evolo-w2,,,"Category==Utopian concept | Habitat in Moon | Futuristic Vision==Client==With W2 Architects, China==Status==Design Entry==Year==2011",,"The project is a conceptualization of possibility of human habitat in moon, in impending future. The idea is to create an egg shaped spatial environment conducive to human life. Just like an egg, which protects its yolk with the strong protective padding albumen, our design protects the inside by a strong thermal and environmentally protective titanium skin outside.  <br><br>

The interior of the structure comprises of an outer ellicoidal pathway, inhabiting urban farming  alongwith futuristic high speed vertical transportation. This ellicoidal pathway is connected with the urban space of the center which is the yolk. The city in the yolk space grows like a cell, orienting its logistics, which was simulated using a cellular automata algorithm. These cells would be pre-fabricated modular units, imported from earth. The city within would be allowed to grow inside while human habitation gradually sprawls and settles in  Moon. <br><br>

Our vision for this futuristic city in moon, imagines that as one egg-shaped structure finishes the other one starts to grow. The design of the urban city inside is kept within a peripheral shell of urban vegetation, parks and green land on the external ellicoidal path. This sheild acts as a buffer zone where people from the city can go and interact with the nature. An algae screen was proposed to be installed which interacts with the sun to form hydrogen which in turn helps to produce energy for the inhabitants for the city.",,architecture,utopian concept
